Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5,Edge Device 6,Edge Device 7,Edge Device 8,Edge Device 9,Edge Device 10
1804010517,107,128,23,55,1,53,71,161,31,5
1804010518,100,133,23,53,1,56,72,152,32,5
1804010519,105,143,23,52,1,52,70,152,36,5
1804010520,107,144,22,54,1,53,69,155,36,5
1804010521,103,142,22,50,1,49,69,151,31,5
1804010522,101,137,23,52,1,52,68,151,32,5
1804010523,100,145,23,54,1,51,70,147,34,6
1804010524,101,147,24,56,1,51,71,148,32,6
1804010525,101,156,25,59,1,55,71,148,27,6
1804010526,100,151,24,59,1,54,70,146,30,6
1804010527,101,157,25,59,1,53,71,144,28,6
1804010528,101,154,26,60,1,49,72,144,24,6
1804010529,105,154,26,54,1,50,70,142,23,6
1804010530,106,162,27,57,1,46,72,140,24,5
1804010531,106,160,27,58,1,47,72,142,26,6
1804010532,106,163,28,57,1,45,71,146,29,6
1804010533,107,159,27,54,1,49,70,143,26,6
1804010534,108,158,27,57,1,49,66,148,30,6
1804010535,101,161,27,60,1,51,68,155,27,6
1804010536,104,157,26,60,1,43,69,158,25,6
1804010537,103,155,24,60,1,51,68,157,24,5
1804010538,107,152,24,60,1,51,69,160,30,5
1804010539,106,145,24,63,1,49,69,159,29,5
1804010540,104,158,23,61,1,48,70,159,29,5
1804010541,103,157,23,60,1,53,70,150,30,5
1804010542,112,171,23,57,1,56,70,163,32,5
1804010543,108,173,22,63,1,56,72,165,31,4
1804010544,104,173,24,64,1,55,72,162,29,5
1804010545,104,172,24,61,1,57,73,159,30,5
1804010546,103,164,26,62,1,56,73,160,31,5
1804010547,98,165,26,60,1,59,70,159,27,5
1804010548,100,164,26,61,1,59,72,158,26,5
1804010549,91,175,25,58,1,57,71,161,28,6
1804010550,95,177,26,53,1,61,70,159,26,6
1804010551,91,180,26,56,1,55,68,154,25,6
1804010552,93,179,27,58,1,51,66,151,23,6
1804010553,97,175,25,58,1,52,68,151,24,6
1804010554,96,167,26,57,1,50,71,157,25,6
1804010555,100,167,27,59,1,53,71,151,25,6
1804010556,100,179,27,58,1,50,72,149,26,6
1804010557,98,190,27,57,1,50,71,153,25,6
1804010558,96,191,26,56,1,50,71,149,29,7
1804010559,96,190,25,63,1,51,68,150,30,7
1804010600,97,186,24,64,1,52,71,145,28,7
1804010601,90,184,24,63,1,52,68,142,29,7
1804010602,90,188,23,62,1,49,68,139,30,7
1804010603,91,196,23,62,1,47,69,134,33,8
1804010604,91,190,21,63,1,51,69,140,30,7
1804010605,93,192,19,62,1,49,67,140,29,7
1804010606,93,200,19,58,1,54,68,140,30,7
1804010607,91,201,19,61,1,49,68,138,25,6
1804010608,90,207,19,63,1,54,68,135,30,7
1804010609,91,200,19,67,1,55,67,137,37,7
1804010610,89,206,20,64,1,57,68,139,33,7
1804010611,87,200,21,58,1,51,65,143,34,6
1804010612,91,203,22,62,2,51,69,145,31,6
1804010613,96,192,21,60,2,53,68,152,35,6
1804010614,99,199,21,58,2,53,67,146,37,6
1804010615,93,200,21,64,2,50,68,140,39,5
1804010616,94,205,23,65,2,55,66,136,36,5
1804010617,94,215,23,65,2,48,63,137,35,5
1804010618,95,204,22,73,1,51,64,138,40,5
1804010619,94,214,23,73,1,47,64,139,41,6
1804010620,95,204,22,73,1,55,64,137,42,6
1804010621,94,204,22,68,1,57,65,137,38,6
1804010622,101,202,22,63,1,59,66,135,41,6
1804010623,104,214,24,63,1,57,68,133,37,6
1804010624,102,211,24,65,2,59,66,134,36,6
1804010625,106,223,25,66,2,49,64,129,33,6
1804010626,102,229,23,66,2,48,67,132,37,6
1804010627,102,223,25,73,2,47,67,133,37,6
1804010628,104,221,25,71,2,47,69,138,43,6
1804010629,104,226,25,73,2,47,69,134,42,6
1804010630,101,240,25,72,2,49,69,132,40,6
1804010631,102,242,24,71,1,55,70,134,42,6
1804010632,99,239,24,71,1,62,72,137,44,6
1804010633,101,250,26,71,2,55,68,135,48,6
1804010634,95,242,28,67,2,53,66,137,48,4
1804010635,100,242,29,65,2,54,66,133,49,4
1804010636,104,234,31,67,1,51,66,129,53,5
1804010637,97,231,33,70,1,50,63,129,50,5
1804010638,103,232,31,73,1,50,62,128,46,5
1804010639,102,237,31,68,1,48,61,131,42,4
1804010640,101,240,30,73,1,48,61,136,36,4
1804010641,101,244,31,65,1,50,62,138,34,3
1804010642,101,242,32,67,1,56,62,133,37,3
1804010643,101,236,31,69,2,57,61,141,37,4
1804010644,100,236,30,71,2,61,59,132,35,4
1804010645,94,242,30,67,2,58,62,132,34,4
1804010646,98,256,29,62,2,53,62,130,39,4
1804010647,99,264,31,63,1,52,61,129,38,4
1804010648,98,268,30,61,1,55,62,127,39,4
1804010649,95,270,30,57,1,55,61,129,46,4
1804010650,95,265,30,54,1,52,61,124,48,5
1804010651,92,262,32,62,2,57,60,125,45,5
1804010652,89,274,32,60,2,57,59,127,39,5
1804010653,98,274,33,63,2,55,58,132,36,7
1804010654,97,260,31,66,2,54,61,128,38,5
1804010655,105,262,29,70,2,53,62,132,38,5
1804010656,105,255,30,68,2,54,62,133,40,4
1804010657,106,274,30,73,1,52,58,128,43,4
1804010658,102,271,29,72,1,58,59,126,44,4
1804010659,108,272,27,71,1,55,58,131,44,4
1804010700,101,269,26,74,1,55,58,122,44,4
1804010701,97,266,26,76,2,55,58,120,47,4
1804010702,93,266,27,79,2,50,57,121,37,5
1804010703,99,270,27,80,2,56,54,131,41,5
1804010704,102,274,27,74,3,61,57,134,48,5
1804010705,107,282,27,74,3,66,59,134,46,5
1804010706,115,283,28,75,2,63,59,132,45,4
1804010707,119,290,29,73,1,60,59,126,49,4
1804010708,122,285,30,76,1,59,58,121,48,4
1804010709,122,281,30,75,1,65,58,116,54,4
1804010710,113,292,30,74,1,63,59,117,56,4
1804010711,109,294,33,69,1,56,58,119,54,3
1804010712,111,299,31,74,1,58,56,117,55,3
1804010713,114,310,30,71,1,53,58,112,51,3
1804010714,118,319,29,74,1,57,58,117,56,3
1804010715,111,309,29,73,1,51,54,117,60,3
1804010716,108,313,29,79,1,53,56,116,66,3
1804010717,105,311,29,82,1,50,57,114,63,3
1804010718,105,309,28,87,1,47,56,110,57,3
1804010719,107,315,27,84,1,53,57,105,58,4
1804010720,105,310,28,78,1,54,56,102,58,4
1804010721,112,319,29,86,1,51,58,104,56,4
1804010722,110,304,26,84,1,54,58,109,61,5
1804010723,112,313,28,87,1,52,58,114,57,3
1804010724,112,328,28,88,1,55,57,108,55,5
